id,match,start,mins,goals,assists,yellow,red,date,opponent,comp,round,venue,gf,ga,result
becker,1,1,90,0,0,,,2021-09-12,BV Brambauer 13/​45 e.V.,Kreisliga A,MD1,Home,8,0,Win
bergmann,1,1,60,0,2,,,2021-09-12,BV Brambauer 13/​45 e.V.,Kreisliga A,MD1,Home,8,0,Win
gerres,1,1,45,0,0,,,2021-09-12,BV Brambauer 13/​45 e.V.,Kreisliga A,MD1,Home,8,0,Win
glanzer,1,1,90,1,0,,,2021-09-12,BV Brambauer 13/​45 e.V.,Kreisliga A,MD1,Home,8,0,Win
goosmann,1,,90,1,0,,,2021-09-12,BV Brambauer 13/​45 e.V.,Kreisliga A,MD1,Home,8,0,Win
heim,1,1,75,2,0,,,2021-09-12,BV Brambauer 13/​45 e.V.,Kreisliga A,MD1,Home,8,0,Win
herbig,1,,15,0,0,,,2021-09-12,BV Brambauer 13/​45 e.V.,Kreisliga A,MD1,Home,8,0,Win
hohl,1,,15,0,0,,,2021-09-12,BV Brambauer 13/​45 e.V.,Kreisliga A,MD1,Home,8,0,Win
jung,1,1,90,0,0,,,2021-09-12,BV Brambauer 13/​45 e.V.,Kreisliga A,MD1,Home,8,0,Win
klemann,1,1,90,1,0,,,2021-09-12,BV Brambauer 13/​45 e.V.,Kreisliga A,MD1,Home,8,0,Win
lau,1,1,75,1,1,,,2021-09-12,BV Brambauer 13/​45 e.V.,Kreisliga A,MD1,Home,8,0,Win
prinzen,1,,45,0,0,,,2021-09-12,BV Brambauer 13/​45 e.V.,Kreisliga A,MD1,Home,8,0,Win
rogge-herper,1,,30,0,2,,,2021-09-12,BV Brambauer 13/​45 e.V.,Kreisliga A,MD1,Home,8,0,Win
schroer,1,1,90,0,0,,,2021-09-12,BV Brambauer 13/​45 e.V.,Kreisliga A,MD1,Home,8,0,Win
zabell,1,1,90,2,1,,,2021-09-12,BV Brambauer 13/​45 e.V.,Kreisliga A,MD1,Home,8,0,Win
becker,2,1,90,0,1,,,2021-09-17,Urania Lütgendortmund,Kreispokal,R1,Away,12,0,Win
billig,2,,34,0,0,,,2021-09-17,Urania Lütgendortmund,Kreispokal,R1,Away,12,0,Win
gerres,2,1,64,0,0,,,2021-09-17,Urania Lütgendortmund,Kreispokal,R1,Away,12,0,Win
glanzer,2,1,90,0,0,,,2021-09-17,Urania Lütgendortmund,Kreispokal,R1,Away,12,0,Win
goosmann,2,,26,1,0,,,2021-09-17,Urania Lütgendortmund,Kreispokal,R1,Away,12,0,Win
heim,2,1,56,2,4,,,2021-09-17,Urania Lütgendortmund,Kreispokal,R1,Away,12,0,Win
herbig,2,,34,1,0,,,2021-09-17,Urania Lütgendortmund,Kreispokal,R1,Away,12,0,Win
hohl,2,1,90,1,2,,,2021-09-17,Urania Lütgendortmund,Kreispokal,R1,Away,12,0,Win
jung,2,1,90,1,1,,,2021-09-17,Urania Lütgendortmund,Kreispokal,R1,Away,12,0,Win
kaul,2,1,56,1,1,,,2021-09-17,Urania Lütgendortmund,Kreispokal,R1,Away,12,0,Win
lau,2,1,64,2,0,,,2021-09-17,Urania Lütgendortmund,Kreispokal,R1,Away,12,0,Win
prinzen,2,1,90,1,0,,,2021-09-17,Urania Lütgendortmund,Kreispokal,R1,Away,12,0,Win
schneider,2,,26,0,0,,,2021-09-17,Urania Lütgendortmund,Kreispokal,R1,Away,12,0,Win
schroer,2,1,90,0,0,,,2021-09-17,Urania Lütgendortmund,Kreispokal,R1,Away,12,0,Win
zabell,2,1,90,2,0,,,2021-09-17,Urania Lütgendortmund,Kreispokal,R1,Away,12,0,Win
bergmann,3,1,53,0,0,,,2021-09-26,SF Sölderholz,Kreisliga A,MD2,Away,4,0,Win
billig,3,,32,0,1,,,2021-09-26,SF Sölderholz,Kreisliga A,MD2,Away,4,0,Win
gerres,3,,13,0,0,,,2021-09-26,SF Sölderholz,Kreisliga A,MD2,Away,4,0,Win
glanzer,3,1,90,0,1,,,2021-09-26,SF Sölderholz,Kreisliga A,MD2,Away,4,0,Win
goosmann,3,1,77,1,1,,,2021-09-26,SF Sölderholz,Kreisliga A,MD2,Away,4,0,Win
heim,3,1,90,0,0,,,2021-09-26,SF Sölderholz,Kreisliga A,MD2,Away,4,0,Win
herbig,3,,13,0,0,,,2021-09-26,SF Sölderholz,Kreisliga A,MD2,Away,4,0,Win
jung,3,1,90,0,0,,,2021-09-26,SF Sölderholz,Kreisliga A,MD2,Away,4,0,Win
kaul,3,1,58,1,0,,,2021-09-26,SF Sölderholz,Kreisliga A,MD2,Away,4,0,Win
lau,3,1,90,1,0,,,2021-09-26,SF Sölderholz,Kreisliga A,MD2,Away,4,0,Win
prinzen,3,1,90,0,0,,,2021-09-26,SF Sölderholz,Kreisliga A,MD2,Away,4,0,Win
rogge-herper,3,,37,0,0,,,2021-09-26,SF Sölderholz,Kreisliga A,MD2,Away,4,0,Win
schneider,3,1,77,0,0,,,2021-09-26,SF Sölderholz,Kreisliga A,MD2,Away,4,0,Win
schroer,3,1,90,0,0,,,2021-09-26,SF Sölderholz,Kreisliga A,MD2,Away,4,0,Win
zabell,3,1,90,1,0,,,2021-09-26,SF Sölderholz,Kreisliga A,MD2,Away,4,0,Win
becker,4,,23,0,0,,,2021-10-03,BV Teutonia Lanstrop,Kreisliga A,MD3,Home,15,0,Win
bergmann,4,1,90,0,1,,,2021-10-03,BV Teutonia Lanstrop,Kreisliga A,MD3,Home,15,0,Win
billig,4,1,67,2,2,,,2021-10-03,BV Teutonia Lanstrop,Kreisliga A,MD3,Home,15,0,Win
gerres,4,1,90,0,1,,,2021-10-03,BV Teutonia Lanstrop,Kreisliga A,MD3,Home,15,0,Win
glanzer,4,1,90,1,1,,,2021-10-03,BV Teutonia Lanstrop,Kreisliga A,MD3,Home,15,0,Win
goosmann,4,1,90,6,1,,,2021-10-03,BV Teutonia Lanstrop,Kreisliga A,MD3,Home,15,0,Win
heim,4,1,58,2,1,,,2021-10-03,BV Teutonia Lanstrop,Kreisliga A,MD3,Home,15,0,Win
herbig,4,1,58,1,0,,,2021-10-03,BV Teutonia Lanstrop,Kreisliga A,MD3,Home,15,0,Win
hohl,4,,32,0,0,,,2021-10-03,BV Teutonia Lanstrop,Kreisliga A,MD3,Home,15,0,Win
jung,4,1,90,1,0,,,2021-10-03,BV Teutonia Lanstrop,Kreisliga A,MD3,Home,15,0,Win
kaul,4,,23,0,1,,,2021-10-03,BV Teutonia Lanstrop,Kreisliga A,MD3,Home,15,0,Win
kolmel,4,1,90,0,0,,,2021-10-03,BV Teutonia Lanstrop,Kreisliga A,MD3,Home,15,0,Win
lau,4,,32,1,0,,,2021-10-03,BV Teutonia Lanstrop,Kreisliga A,MD3,Home,15,0,Win
prinzen,4,1,90,1,0,,,2021-10-03,BV Teutonia Lanstrop,Kreisliga A,MD3,Home,15,0,Win
rogge-herper,4,1,67,0,2,,,2021-10-03,BV Teutonia Lanstrop,Kreisliga A,MD3,Home,15,0,Win
becker,5,1,90,1,0,,,2021-10-10,SpVg Berghofen III,Kreisliga A,MD4,Away,4,0,Win
bergmann,5,,45,0,1,,,2021-10-10,SpVg Berghofen III,Kreisliga A,MD4,Away,4,0,Win
billig,5,1,61,0,0,,,2021-10-10,SpVg Berghofen III,Kreisliga A,MD4,Away,4,0,Win
falker,5,1,90,0,0,,,2021-10-10,SpVg Berghofen III,Kreisliga A,MD4,Away,4,0,Win
gerres,5,1,90,0,0,,,2021-10-10,SpVg Berghofen III,Kreisliga A,MD4,Away,4,0,Win
goosmann,5,1,90,1,0,,,2021-10-10,SpVg Berghofen III,Kreisliga A,MD4,Away,4,0,Win
herbig,5,1,45,0,0,,,2021-10-10,SpVg Berghofen III,Kreisliga A,MD4,Away,4,0,Win
kaul,5,,29,0,0,,,2021-10-10,SpVg Berghofen III,Kreisliga A,MD4,Away,4,0,Win
lau,5,1,90,2,1,,,2021-10-10,SpVg Berghofen III,Kreisliga A,MD4,Away,4,0,Win
prinzen,5,1,90,0,0,,,2021-10-10,SpVg Berghofen III,Kreisliga A,MD4,Away,4,0,Win
rogge-herper,5,1,90,0,0,,,2021-10-10,SpVg Berghofen III,Kreisliga A,MD4,Away,4,0,Win
schroer,5,1,90,0,0,,,2021-10-10,SpVg Berghofen III,Kreisliga A,MD4,Away,4,0,Win
zabell,5,1,90,0,0,,,2021-10-10,SpVg Berghofen III,Kreisliga A,MD4,Away,4,0,Win
becker,6,1,57,0,1,,,2021-10-17,TuRa Asseln,Kreisliga A,MD5,Home,10,0,Win
bergmann,6,1,90,2,1,,,2021-10-17,TuRa Asseln,Kreisliga A,MD5,Home,10,0,Win
billig,6,,26,1,0,,,2021-10-17,TuRa Asseln,Kreisliga A,MD5,Home,10,0,Win
falker,6,1,90,0,0,,,2021-10-17,TuRa Asseln,Kreisliga A,MD5,Home,10,0,Win
gerres,6,,26,0,0,,,2021-10-17,TuRa Asseln,Kreisliga A,MD5,Home,10,0,Win
glanzer,6,1,90,2,3,,,2021-10-17,TuRa Asseln,Kreisliga A,MD5,Home,10,0,Win
goosmann,6,,33,1,0,,,2021-10-17,TuRa Asseln,Kreisliga A,MD5,Home,10,0,Win
herbig,6,1,57,2,1,,,2021-10-17,TuRa Asseln,Kreisliga A,MD5,Home,10,0,Win
kaul,6,1,64,0,0,,,2021-10-17,TuRa Asseln,Kreisliga A,MD5,Home,10,0,Win
kolmel,6,1,90,0,0,,,2021-10-17,TuRa Asseln,Kreisliga A,MD5,Home,10,0,Win
lau,6,1,90,1,1,,,2021-10-17,TuRa Asseln,Kreisliga A,MD5,Home,10,0,Win
prinzen,6,1,90,0,0,,,2021-10-17,TuRa Asseln,Kreisliga A,MD5,Home,10,0,Win
rogge-herper,6,,33,0,0,,,2021-10-17,TuRa Asseln,Kreisliga A,MD5,Home,10,0,Win
schneider,6,1,72,0,0,,,2021-10-17,TuRa Asseln,Kreisliga A,MD5,Home,10,0,Win
zabell,6,1,82,1,1,,,2021-10-17,TuRa Asseln,Kreisliga A,MD5,Home,10,0,Win
becker,7,,24,0,0,,,2021-10-24,SF Ay Yildiz Derne,Kreisliga A,MD6,Away,6,0,Win
bergmann,7,1,90,0,1,,,2021-10-24,SF Ay Yildiz Derne,Kreisliga A,MD6,Away,6,0,Win
billig,7,,28,1,0,,,2021-10-24,SF Ay Yildiz Derne,Kreisliga A,MD6,Away,6,0,Win
glanzer,7,1,90,0,0,,,2021-10-24,SF Ay Yildiz Derne,Kreisliga A,MD6,Away,6,0,Win
goosmann,7,1,70,0,0,,,2021-10-24,SF Ay Yildiz Derne,Kreisliga A,MD6,Away,6,0,Win
heim,7,1,62,2,2,,,2021-10-24,SF Ay Yildiz Derne,Kreisliga A,MD6,Away,6,0,Win
herbig,7,,24,0,0,,,2021-10-24,SF Ay Yildiz Derne,Kreisliga A,MD6,Away,6,0,Win
jung,7,1,90,0,0,,,2021-10-24,SF Ay Yildiz Derne,Kreisliga A,MD6,Away,6,0,Win
kaul,7,,20,0,0,,,2021-10-24,SF Ay Yildiz Derne,Kreisliga A,MD6,Away,6,0,Win
klemann,7,1,90,1,0,,,2021-10-24,SF Ay Yildiz Derne,Kreisliga A,MD6,Away,6,0,Win
lau,7,1,66,1,1,,,2021-10-24,SF Ay Yildiz Derne,Kreisliga A,MD6,Away,6,0,Win
rogge-herper,7,1,66,0,1,,,2021-10-24,SF Ay Yildiz Derne,Kreisliga A,MD6,Away,6,0,Win
schneider,7,1,90,0,1,,,2021-10-24,SF Ay Yildiz Derne,Kreisliga A,MD6,Away,6,0,Win
schroer,7,1,90,0,0,,,2021-10-24,SF Ay Yildiz Derne,Kreisliga A,MD6,Away,6,0,Win
zabell,7,1,90,1,0,,,2021-10-24,SF Ay Yildiz Derne,Kreisliga A,MD6,Away,6,0,Win
becker,8,1,90,0,0,,,2021-10-31,Lüner SV,Kreisliga A,MD7,Home,12,0,Win
bergmann,8,1,66,0,0,,,2021-10-31,Lüner SV,Kreisliga A,MD7,Home,12,0,Win
falker,8,1,90,0,2,,,2021-10-31,Lüner SV,Kreisliga A,MD7,Home,12,0,Win
gerres,8,1,90,0,0,,,2021-10-31,Lüner SV,Kreisliga A,MD7,Home,12,0,Win
glanzer,8,,31,0,1,,,2021-10-31,Lüner SV,Kreisliga A,MD7,Home,12,0,Win
goosmann,8,1,90,2,2,,,2021-10-31,Lüner SV,Kreisliga A,MD7,Home,12,0,Win
herbig,8,1,59,3,0,,,2021-10-31,Lüner SV,Kreisliga A,MD7,Home,12,0,Win
hohl,8,1,59,1,2,,,2021-10-31,Lüner SV,Kreisliga A,MD7,Home,12,0,Win
jung,8,1,90,0,0,,,2021-10-31,Lüner SV,Kreisliga A,MD7,Home,12,0,Win
kaul,8,1,66,3,0,,,2021-10-31,Lüner SV,Kreisliga A,MD7,Home,12,0,Win
kolmel,8,1,90,0,0,,,2021-10-31,Lüner SV,Kreisliga A,MD7,Home,12,0,Win
lau,8,,31,2,0,,,2021-10-31,Lüner SV,Kreisliga A,MD7,Home,12,0,Win
prinzen,8,1,90,0,0,,,2021-10-31,Lüner SV,Kreisliga A,MD7,Home,12,0,Win
rogge-herper,8,,24,0,0,,,2021-10-31,Lüner SV,Kreisliga A,MD7,Home,12,0,Win
zabell,8,,24,0,0,,,2021-10-31,Lüner SV,Kreisliga A,MD7,Home,12,0,Win
bergmann,9,,90,0,1,,,2021-11-02,SF Ay Yildiz Derne,Kreispokal,R2,Home,5,0,Win
billig,9,,17,0,0,,,2021-11-02,SF Ay Yildiz Derne,Kreispokal,R2,Home,5,0,Win
glanzer,9,,90,0,1,,,2021-11-02,SF Ay Yildiz Derne,Kreispokal,R2,Home,5,0,Win
goosmann,9,,58,0,0,,,2021-11-02,SF Ay Yildiz Derne,Kreispokal,R2,Home,5,0,Win
heim,9,,58,2,0,,,2021-11-02,SF Ay Yildiz Derne,Kreispokal,R2,Home,5,0,Win
herbig,9,,32,0,0,,,2021-11-02,SF Ay Yildiz Derne,Kreispokal,R2,Home,5,0,Win
hohl,9,,26,0,0,,,2021-11-02,SF Ay Yildiz Derne,Kreispokal,R2,Home,5,0,Win
jung,9,,90,0,0,,,2021-11-02,SF Ay Yildiz Derne,Kreispokal,R2,Home,5,0,Win
