id,match,start,mins,goals,assists,yellow,red,date,opponent,comp,round,venue,gf,ga,result
kaul,9,,32,0,0,,,2021-11-02,SF Ay Yildiz Derne,Kreispokal,R2,Home,5,0,Win
klemann,9,,90,0,1,,,2021-11-02,SF Ay Yildiz Derne,Kreispokal,R2,Home,5,0,Win
lau,9,,64,1,0,,,2021-11-02,SF Ay Yildiz Derne,Kreispokal,R2,Home,5,0,Win
rogge-herper,9,,73,0,0,,,2021-11-02,SF Ay Yildiz Derne,Kreispokal,R2,Home,5,0,Win
schneider,9,,90,0,1,,,2021-11-02,SF Ay Yildiz Derne,Kreispokal,R2,Home,5,0,Win
schroer,9,,90,0,0,,,2021-11-02,SF Ay Yildiz Derne,Kreispokal,R2,Home,5,0,Win
zabell,9,,90,2,0,,,2021-11-02,SF Ay Yildiz Derne,Kreispokal,R2,Home,5,0,Win
becker,10,,90,0,0,,,2021-11-07,BV Viktoria Kirchderne,Kreisliga A,MD8,Away,3,0,Win
billig,10,,62,0,0,,,2021-11-07,BV Viktoria Kirchderne,Kreisliga A,MD8,Away,3,0,Win
falker,10,,45,0,0,,,2021-11-07,BV Viktoria Kirchderne,Kreisliga A,MD8,Away,3,0,Win
gerres,10,,90,0,0,,,2021-11-07,BV Viktoria Kirchderne,Kreisliga A,MD8,Away,3,0,Win
glanzer,10,,28,0,0,,,2021-11-07,BV Viktoria Kirchderne,Kreisliga A,MD8,Away,3,0,Win
heim,10,,45,1,1,,,2021-11-07,BV Viktoria Kirchderne,Kreisliga A,MD8,Away,3,0,Win
hohl,10,,90,0,0,,,2021-11-07,BV Viktoria Kirchderne,Kreisliga A,MD8,Away,3,0,Win
jung,10,,90,0,0,,,2021-11-07,BV Viktoria Kirchderne,Kreisliga A,MD8,Away,3,0,Win
kaul,10,,45,0,0,,,2021-11-07,BV Viktoria Kirchderne,Kreisliga A,MD8,Away,3,0,Win
klemann,10,,90,0,1,,,2021-11-07,BV Viktoria Kirchderne,Kreisliga A,MD8,Away,3,0,Win
lau,10,,45,1,0,,,2021-11-07,BV Viktoria Kirchderne,Kreisliga A,MD8,Away,3,0,Win
prinzen,10,,60,0,0,,,2021-11-07,BV Viktoria Kirchderne,Kreisliga A,MD8,Away,3,0,Win
rogge-herper,10,,42,0,0,,,2021-11-07,BV Viktoria Kirchderne,Kreisliga A,MD8,Away,3,0,Win
schroer,10,,90,0,0,,,2021-11-07,BV Viktoria Kirchderne,Kreisliga A,MD8,Away,3,0,Win
zabell,10,,48,1,0,,,2021-11-07,BV Viktoria Kirchderne,Kreisliga A,MD8,Away,3,0,Win
becker,11,,58,0,0,,,2021-11-22,SV Eintracht Dorstfeld,Kreispokal,QF,Home,3,0,Win
bergmann,11,,90,0,0,,,2021-11-22,SV Eintracht Dorstfeld,Kreispokal,QF,Home,3,0,Win
billig,11,,23,0,1,,,2021-11-22,SV Eintracht Dorstfeld,Kreispokal,QF,Home,3,0,Win
glanzer,11,,90,0,0,,,2021-11-22,SV Eintracht Dorstfeld,Kreispokal,QF,Home,3,0,Win
goosmann,11,,67,0,0,,,2021-11-22,SV Eintracht Dorstfeld,Kreispokal,QF,Home,3,0,Win
heim,11,,90,1,1,,,2021-11-22,SV Eintracht Dorstfeld,Kreispokal,QF,Home,3,0,Win
jung,11,,90,0,0,,,2021-11-22,SV Eintracht Dorstfeld,Kreispokal,QF,Home,3,0,Win
kaul,11,,14,1,0,,,2021-11-22,SV Eintracht Dorstfeld,Kreispokal,QF,Home,3,0,Win
klemann,11,,90,0,0,,,2021-11-22,SV Eintracht Dorstfeld,Kreispokal,QF,Home,3,0,Win
lau,11,,90,0,0,,,2021-11-22,SV Eintracht Dorstfeld,Kreispokal,QF,Home,3,0,Win
rogge-herper,11,,32,0,0,,,2021-11-22,SV Eintracht Dorstfeld,Kreispokal,QF,Home,3,0,Win
schneider,11,,90,0,0,,,2021-11-22,SV Eintracht Dorstfeld,Kreispokal,QF,Home,3,0,Win
schroer,11,,90,0,0,,,2021-11-22,SV Eintracht Dorstfeld,Kreispokal,QF,Home,3,0,Win
zabell,11,,76,1,1,,,2021-11-22,SV Eintracht Dorstfeld,Kreispokal,QF,Home,3,0,Win
becker,12,,60,0,0,,,2021-11-28,SV Körne 83,Kreisliga A,MD9,Away,5,0,Win
bergmann,12,,90,0,1,,,2021-11-28,SV Körne 83,Kreisliga A,MD9,Away,5,0,Win
billig,12,,90,0,0,,,2021-11-28,SV Körne 83,Kreisliga A,MD9,Away,5,0,Win
falker,12,,45,0,0,,,2021-11-28,SV Körne 83,Kreisliga A,MD9,Away,5,0,Win
gerres,12,,90,0,0,,,2021-11-28,SV Körne 83,Kreisliga A,MD9,Away,5,0,Win
glanzer,12,,90,0,0,,,2021-11-28,SV Körne 83,Kreisliga A,MD9,Away,5,0,Win
heim,12,,71,2,2,,,2021-11-28,SV Körne 83,Kreisliga A,MD9,Away,5,0,Win
hohl,12,,90,1,1,,,2021-11-28,SV Körne 83,Kreisliga A,MD9,Away,5,0,Win
jung,12,,90,0,0,,,2021-11-28,SV Körne 83,Kreisliga A,MD9,Away,5,0,Win
kaul,12,,54,2,0,,,2021-11-28,SV Körne 83,Kreisliga A,MD9,Away,5,0,Win
klemann,12,,45,0,0,,,2021-11-28,SV Körne 83,Kreisliga A,MD9,Away,5,0,Win
kolmel,12,,36,0,0,,,2021-11-28,SV Körne 83,Kreisliga A,MD9,Away,5,0,Win
lau,12,,19,0,0,,,2021-11-28,SV Körne 83,Kreisliga A,MD9,Away,5,0,Win
schroer,12,,52,0,0,,,2021-11-28,SV Körne 83,Kreisliga A,MD9,Away,5,0,Win
zabell,12,,30,0,1,,,2021-11-28,SV Körne 83,Kreisliga A,MD9,Away,5,0,Win
becker,13,,30,0,0,,,2022-03-05,BV Brambauer 13/​45 e.V.,Kreisliga A,MD10,Away,6,0,Win
bergmann,13,,90,0,0,,,2022-03-05,BV Brambauer 13/​45 e.V.,Kreisliga A,MD10,Away,6,0,Win
billig,13,,60,0,0,,,2022-03-05,BV Brambauer 13/​45 e.V.,Kreisliga A,MD10,Away,6,0,Win
gerres,13,,45,0,0,,,2022-03-05,BV Brambauer 13/​45 e.V.,Kreisliga A,MD10,Away,6,0,Win
glanzer,13,,90,0,1,,,2022-03-05,BV Brambauer 13/​45 e.V.,Kreisliga A,MD10,Away,6,0,Win
heim,13,,90,2,0,,,2022-03-05,BV Brambauer 13/​45 e.V.,Kreisliga A,MD10,Away,6,0,Win
hohl,13,,20,1,1,,,2022-03-05,BV Brambauer 13/​45 e.V.,Kreisliga A,MD10,Away,6,0,Win
jung,13,,90,1,0,,,2022-03-05,BV Brambauer 13/​45 e.V.,Kreisliga A,MD10,Away,6,0,Win
kaul,13,,90,0,0,,,2022-03-05,BV Brambauer 13/​45 e.V.,Kreisliga A,MD10,Away,6,0,Win
kolmel,13,,90,0,0,,,2022-03-05,BV Brambauer 13/​45 e.V.,Kreisliga A,MD10,Away,6,0,Win
lau,13,,70,0,1,,,2022-03-05,BV Brambauer 13/​45 e.V.,Kreisliga A,MD10,Away,6,0,Win
porteners,13,,90,0,0,,,2022-03-05,BV Brambauer 13/​45 e.V.,Kreisliga A,MD10,Away,6,0,Win
rogge-herper,13,,60,0,0,,,2022-03-05,BV Brambauer 13/​45 e.V.,Kreisliga A,MD10,Away,6,0,Win
schneider,13,,45,0,0,,,2022-03-05,BV Brambauer 13/​45 e.V.,Kreisliga A,MD10,Away,6,0,Win
zabell,13,,30,1,0,,,2022-03-05,BV Brambauer 13/​45 e.V.,Kreisliga A,MD10,Away,6,0,Win
becker,14,,61,0,1,,,2022-03-27,BV Teutonia Lanstrop,Kreisliga A,MD12,Away,14,0,Win
bergmann,14,,90,0,0,,,2022-03-27,BV Teutonia Lanstrop,Kreisliga A,MD12,Away,14,0,Win
falker,14,,77,1,0,,,2022-03-27,BV Teutonia Lanstrop,Kreisliga A,MD12,Away,14,0,Win
gerres,14,,90,0,0,,,2022-03-27,BV Teutonia Lanstrop,Kreisliga A,MD12,Away,14,0,Win
goosmann,14,,13,1,0,,,2022-03-27,BV Teutonia Lanstrop,Kreisliga A,MD12,Away,14,0,Win
heim,14,,90,0,7,,,2022-03-27,BV Teutonia Lanstrop,Kreisliga A,MD12,Away,14,0,Win
herbig,14,,13,0,1,,,2022-03-27,BV Teutonia Lanstrop,Kreisliga A,MD12,Away,14,0,Win
kaul,14,,61,3,1,,,2022-03-27,BV Teutonia Lanstrop,Kreisliga A,MD12,Away,14,0,Win
klemann,14,,90,1,0,,,2022-03-27,BV Teutonia Lanstrop,Kreisliga A,MD12,Away,14,0,Win
lau,14,,77,4,1,,,2022-03-27,BV Teutonia Lanstrop,Kreisliga A,MD12,Away,14,0,Win
porteners,14,,90,1,1,,,2022-03-27,BV Teutonia Lanstrop,Kreisliga A,MD12,Away,14,0,Win
rogge-herper,14,,29,0,0,,,2022-03-27,BV Teutonia Lanstrop,Kreisliga A,MD12,Away,14,0,Win
schlenker,14,,29,0,0,,,2022-03-27,BV Teutonia Lanstrop,Kreisliga A,MD12,Away,14,0,Win
schneider,14,,90,1,0,,,2022-03-27,BV Teutonia Lanstrop,Kreisliga A,MD12,Away,14,0,Win
zabell,14,,90,2,2,,,2022-03-27,BV Teutonia Lanstrop,Kreisliga A,MD12,Away,14,0,Win
becker,15,,45,0,0,,,2022-04-03,SpVg Berghofen III,Kreisliga A,MD13,Home,13,1,Win
bergmann,15,,45,0,0,,,2022-04-03,SpVg Berghofen III,Kreisliga A,MD13,Home,13,1,Win
billig,15,,61,2,0,,,2022-04-03,SpVg Berghofen III,Kreisliga A,MD13,Home,13,1,Win
falker,15,,90,2,1,,,2022-04-03,SpVg Berghofen III,Kreisliga A,MD13,Home,13,1,Win
gerres,15,,90,0,0,,,2022-04-03,SpVg Berghofen III,Kreisliga A,MD13,Home,13,1,Win
goosmann,15,,14,1,0,,,2022-04-03,SpVg Berghofen III,Kreisliga A,MD13,Home,13,1,Win
jung,15,,90,0,1,,,2022-04-03,SpVg Berghofen III,Kreisliga A,MD13,Home,13,1,Win
kaul,15,,76,2,0,,,2022-04-03,SpVg Berghofen III,Kreisliga A,MD13,Home,13,1,Win
klemann,15,,76,0,2,,,2022-04-03,SpVg Berghofen III,Kreisliga A,MD13,Home,13,1,Win
lau,15,,90,1,4,,,2022-04-03,SpVg Berghofen III,Kreisliga A,MD13,Home,13,1,Win
porteners,15,,14,0,0,,,2022-04-03,SpVg Berghofen III,Kreisliga A,MD13,Home,13,1,Win
prinzen,15,,90,0,1,,,2022-04-03,SpVg Berghofen III,Kreisliga A,MD13,Home,13,1,Win
rogge-herper,15,,29,0,0,,,2022-04-03,SpVg Berghofen III,Kreisliga A,MD13,Home,13,1,Win
schroer,15,,90,0,0,,,2022-04-03,SpVg Berghofen III,Kreisliga A,MD13,Home,13,1,Win
zabell,15,,90,3,0,,,2022-04-03,SpVg Berghofen III,Kreisliga A,MD13,Home,13,1,Win
becker,16,,38,0,0,,,2022-04-06,SF Sölderholz,Kreisliga A,MD11,Home,3,1,Win
bergmann,16,,52,0,0,,,2022-04-06,SF Sölderholz,Kreisliga A,MD11,Home,3,1,Win
billig,16,,31,1,0,,,2022-04-06,SF Sölderholz,Kreisliga A,MD11,Home,3,1,Win
falker,16,,90,0,1,,,2022-04-06,SF Sölderholz,Kreisliga A,MD11,Home,3,1,Win
glanzer,16,,90,0,0,,,2022-04-06,SF Sölderholz,Kreisliga A,MD11,Home,3,1,Win
goosmann,16,,16,0,0,,,2022-04-06,SF Sölderholz,Kreisliga A,MD11,Home,3,1,Win
heim,16,,90,1,1,,,2022-04-06,SF Sölderholz,Kreisliga A,MD11,Home,3,1,Win
jung,16,,90,0,0,,,2022-04-06,SF Sölderholz,Kreisliga A,MD11,Home,3,1,Win
kaul,16,,74,0,0,,,2022-04-06,SF Sölderholz,Kreisliga A,MD11,Home,3,1,Win
lau,16,,59,0,0,,,2022-04-06,SF Sölderholz,Kreisliga A,MD11,Home,3,1,Win
rogge-herper,16,,90,0,0,,,2022-04-06,SF Sölderholz,Kreisliga A,MD11,Home,3,1,Win
schneider,16,,90,0,0,,,2022-04-06,SF Sölderholz,Kreisliga A,MD11,Home,3,1,Win
schroer,16,,90,0,0,,,2022-04-06,SF Sölderholz,Kreisliga A,MD11,Home,3,1,Win
zabell,16,,90,1,0,,,2022-04-06,SF Sölderholz,Kreisliga A,MD11,Home,3,1,Win
becker,17,,90,0,1,,,2022-04-10,TuRa Asseln,Kreisliga A,MD14,Away,8,0,Win
bergmann,17,,19,0,0,,,2022-04-10,TuRa Asseln,Kreisliga A,MD14,Away,8,0,Win
billig,17,,29,0,0,,,2022-04-10,TuRa Asseln,Kreisliga A,MD14,Away,8,0,Win
gerres,17,,90,0,1,,,2022-04-10,TuRa Asseln,Kreisliga A,MD14,Away,8,0,Win
glanzer,17,,90,0,0,,,2022-04-10,TuRa Asseln,Kreisliga A,MD14,Away,8,0,Win
goosmann,17,,45,2,0,,,2022-04-10,TuRa Asseln,Kreisliga A,MD14,Away,8,0,Win
heim,17,,90,2,2,,,2022-04-10,TuRa Asseln,Kreisliga A,MD14,Away,8,0,Win
herbig,17,,67,1,0,,,2022-04-10,TuRa Asseln,Kreisliga A,MD14,Away,8,0,Win
kaul,17,,45,0,0,,,2022-04-10,TuRa Asseln,Kreisliga A,MD14,Away,8,0,Win
lau,17,,23,1,0,,,2022-04-10,TuRa Asseln,Kreisliga A,MD14,Away,8,0,Win
porteners,17,,90,0,0,,,2022-04-10,TuRa Asseln,Kreisliga A,MD14,Away,8,0,Win
prinzen,17,,90,0,0,,,2022-04-10,TuRa Asseln,Kreisliga A,MD14,Away,8,0,Win
rogge-herper,17,,71,0,0,,,2022-04-10,TuRa Asseln,Kreisliga A,MD14,Away,8,0,Win
schroer,17,,90,0,0,,,2022-04-10,TuRa Asseln,Kreisliga A,MD14,Away,8,0,Win
zabell,17,,61,2,1,,,2022-04-10,TuRa Asseln,Kreisliga A,MD14,Away,8,0,Win