season,match,comp,round,date,opponent,venue,min,min_alt,gf,ga,gd,scorer_first,scorer_last,assist_first,assist_last,assist_1st,assist_2nd,note,expanded_note,id_scorer,id_assist_official,id_assist_1st,id_assist_2nd,og_scorer,og_assist_official,og_assist_1st,og_assist_2nd
2021-22,1,Kreisliga A,MD1,2021-09-12,BV Brambauer 13/​45 e.V.,Home,31,31,1,0,1,Ana,Zabell,Luisa,Bergmann,Bergmann,,,No Second Assist (Bergmann Corner),zabell,bergmann,bergmann,,,,,
2021-22,1,Kreisliga A,MD1,2021-09-12,BV Brambauer 13/​45 e.V.,Home,39,39,2,0,2,Vanessa,Heim,Ann-Katrin,Lau,Lau,,,No Second Assist (Lau won the ball),heim,lau,lau,,,,,
2021-22,1,Kreisliga A,MD1,2021-09-12,BV Brambauer 13/​45 e.V.,Home,57,57,3,0,3,Virginia,Glänzer,Luisa,Bergmann,Bergmann,Klemann,,,glanzer,bergmann,bergmann,klemann,,,,
2021-22,1,Kreisliga A,MD1,2021-09-12,BV Brambauer 13/​45 e.V.,Home,65,65,4,0,4,Hannah,Goosmann,,,Heim,,,No Official Assist (Rebound of shot by Heim); No Second Assist (Heim free kick),goosmann,,heim,,,,,
2021-22,1,Kreisliga A,MD1,2021-09-12,BV Brambauer 13/​45 e.V.,Home,72,72,5,0,5,Vanessa,Heim,,,Lau,Rogge-Herper,,No Official Assist (Rebound of shot by Lau),heim,,lau,rogge-herper,,,,
2021-22,1,Kreisliga A,MD1,2021-09-12,BV Brambauer 13/​45 e.V.,Home,76,76,6,0,6,Ann-Katrin,Lau,Lea,Rogge-Herper,Rogge-Herper,Klemann,,,lau,rogge-herper,rogge-herper,klemann,,,,
2021-22,1,Kreisliga A,MD1,2021-09-12,BV Brambauer 13/​45 e.V.,Home,88,88,7,0,7,Ana,Zabell,Lea,Rogge-Herper,Rogge-Herper,Goosmann,,,zabell,rogge-herper,rogge-herper,goosmann,,,,
2021-22,1,Kreisliga A,MD1,2021-09-12,BV Brambauer 13/​45 e.V.,Home,90+1,90.1,8,0,8,Lisa,Klemann,Ana,Zabell,Zabell,Glänzer,,,klemann,zabell,zabell,glanzer,,,,
2021-22,2,Kreispokal,R1,2021-09-17,Urania Lütgendortmund,Away,9,9,1,0,1,Ana,Zabell,Vanessa,Heim,Heim,Gerres,,,zabell,heim,heim,gerres,,,,
2021-22,2,Kreispokal,R1,2021-09-17,Urania Lütgendortmund,Away,22,22,2,0,2,Ana,Zabell,Vanessa,Heim,Heim,,,No Second Assist (Zabell won the ball); Combination (Zabell-Heim-Zabell),zabell,heim,heim,,,,,
2021-22,2,Kreispokal,R1,2021-09-17,Urania Lütgendortmund,Away,27,27,3,0,3,Carolin,Kaul,Marina,Jung,Jung,Zabell,,,kaul,jung,jung,zabell,,,,
2021-22,2,Kreispokal,R1,2021-09-17,Urania Lütgendortmund,Away,29,29,4,0,4,Vanessa,Heim,Laura,Höhl,Höhl,,,No Second Assist (Höhl Corner),heim,hohl,hohl,,,,,
2021-22,2,Kreispokal,R1,2021-09-17,Urania Lütgendortmund,Away,31,31,5,0,5,Lilli,Prinzen,,,Höhl,,,No Official Assist (Corner deflected off defender); No Second Assist (Höhl Corner),prinzen,,hohl,,,,,
2021-22,2,Kreispokal,R1,2021-09-17,Urania Lütgendortmund,Away,34,34,6,0,6,Vanessa,Heim,Carolin,Kaul,Kaul,Prinzen,,Combination (Heim-Kaul-Heim),heim,kaul,kaul,prinzen,,,,
2021-22,2,Kreispokal,R1,2021-09-17,Urania Lütgendortmund,Away,42,42,7,0,7,Ann-Katrin,Lau,Vanessa,Heim,Heim,Kaul,,,lau,heim,heim,kaul,,,,
2021-22,2,Kreispokal,R1,2021-09-17,Urania Lütgendortmund,Away,49,49,8,0,8,Ann-Katrin,Lau,Vanessa,Heim,Heim,Glänzer,,,lau,heim,heim,glanzer,,,,
2021-22,2,Kreispokal,R1,2021-09-17,Urania Lütgendortmund,Away,56,56,9,0,9,Marina,Jung,,,,,Direct free kick,No Assists (Direct free kick),jung,,,,,,,
2021-22,2,Kreispokal,R1,2021-09-17,Urania Lütgendortmund,Away,73,73,10,0,10,Annika,Herbig,Laura,Höhl,Höhl,Schneider,,,herbig,hohl,hohl,schneider,,,,
2021-22,2,Kreispokal,R1,2021-09-17,Urania Lütgendortmund,Away,82,82,11,0,11,Laura,Höhl,,,Schneider,Zabell,,No Official Assist (Höhl cross failed to be cleared and came back to her),hohl,,schneider,zabell,,,,
2021-22,2,Kreispokal,R1,2021-09-17,Urania Lütgendortmund,Away,85,85,12,0,12,Hannah,Goosmann,Kimberly,Becker,Becker,Billig,,,goosmann,becker,becker,billig,,,,
2021-22,3,Kreisliga A,MD2,2021-09-26,SF Sölderholz,Away,12,12,1,0,1,Ann-Katrin,Lau,Hannah,Goosmann,Goosmann,Jung,,Combination (Lau-Goosmann-Lau),lau,goosmann,goosmann,jung,,,,
2021-22,3,Kreisliga A,MD2,2021-09-26,SF Sölderholz,Away,13,13,2,0,2,Carolin,Kaul,,,Bergmann,Zabell,,No Official Assist (Kaul scored on her own rebound),kaul,,bergmann,zabell,,,,
2021-22,3,Kreisliga A,MD2,2021-09-26,SF Sölderholz,Away,51,51,3,0,3,Hannah,Goosmann,Virginia,Glänzer,Glänzer,Heim,,Originally reported as an own goal,goosmann,glanzer,glanzer,heim,,,,
2021-22,3,Kreisliga A,MD2,2021-09-26,SF Sölderholz,Away,82,82,4,0,4,Ana,Zabell,Annika,Billig,Billig,Lau,,,zabell,billig,billig,lau,,,,
2021-22,4,Kreisliga A,MD3,2021-10-03,BV Teutonia Lanstrop,Home,2,2,1,0,1,Annika,Billig,Hannah,Goosmann,Goosmann,Bergmann,,,billig,goosmann,goosmann,bergmann,,,,
2021-22,4,Kreisliga A,MD3,2021-10-03,BV Teutonia Lanstrop,Home,5,5,2,0,2,Hannah,Goosmann,Lea,Rogge-Herper,Rogge-Herper,Jung,,,goosmann,rogge-herper,rogge-herper,jung,,,,
2021-22,4,Kreisliga A,MD3,2021-10-03,BV Teutonia Lanstrop,Home,8,8,3,0,3,Vanessa,Heim,Lea,Rogge-Herper,Rogge-Herper,Goosmann,,,heim,rogge-herper,rogge-herper,goosmann,,,,
2021-22,4,Kreisliga A,MD3,2021-10-03,BV Teutonia Lanstrop,Home,16,16,4,0,4,Lilli,Prinzen,,,Bergmann,,,No official assist (ball came off defender); No pre-assist (Bergmann corner),prinzen,,bergmann,,,,,
2021-22,4,Kreisliga A,MD3,2021-10-03,BV Teutonia Lanstrop,Home,21,21,5,0,5,Marina,Jung,,,Glänzer,,,No official assist (ball came off defender after shot by Glänzer),jung,,glanzer,,,,,
2021-22,4,Kreisliga A,MD3,2021-10-03,BV Teutonia Lanstrop,Home,41,41,6,0,6,Hannah,Goosmann,Vanessa,Heim,Heim,Billig,,,goosmann,heim,heim,billig,,,,
2021-22,4,Kreisliga A,MD3,2021-10-03,BV Teutonia Lanstrop,Home,45,45,7,0,7,Annika,Herbig,,,Billig,Rogge-Herper,,No Official Assist (Defender half-cleared Billig pass),herbig,,billig,rogge-herper,,,,
2021-22,4,Kreisliga A,MD3,2021-10-03,BV Teutonia Lanstrop,Home,49,49,8,0,8,Hannah,Goosmann,Luisa,Bergmann,Bergmann,Gerres,,,goosmann,bergmann,bergmann,gerres,,,,
2021-22,4,Kreisliga A,MD3,2021-10-03,BV Teutonia Lanstrop,Home,52,52,9,0,9,Hannah,Goosmann,Virginia,Glänzer,Glänzer,,,No Second Assist (Glänzer won the ball),goosmann,glanzer,glanzer,,,,,
2021-22,4,Kreisliga A,MD3,2021-10-03,BV Teutonia Lanstrop,Home,55,55,10,0,10,Vanessa,Heim,,,Goosmann,Glänzer,,No Official Assist (Rebound of Goosmann shot),heim,,goosmann,glanzer,,,,
2021-22,4,Kreisliga A,MD3,2021-10-03,BV Teutonia Lanstrop,Home,58,58,11,0,11,Hannah,Goosmann,Annika,Billig,Billig,Prinzen,,,goosmann,billig,billig,prinzen,,,,
2021-22,4,Kreisliga A,MD3,2021-10-03,BV Teutonia Lanstrop,Home,61,61,12,0,12,Annika,Billig,Allegra,Gerres,Gerres,Jung,,Jung pass deflected to Gerres,billig,gerres,gerres,jung,,,,
2021-22,4,Kreisliga A,MD3,2021-10-03,BV Teutonia Lanstrop,Home,64,64,13,0,13,Ann-Katrin,Lau,Annika,Billig,Billig,,,No Second Assist (Billig won the ball),lau,billig,billig,,,,,
2021-22,4,Kreisliga A,MD3,2021-10-03,BV Teutonia Lanstrop,Home,84,84,14,0,14,Hannah,Goosmann,,,Lau,Bergmann,,No Official Assist (Rebound of Lau shot),goosmann,,Lau,bergmann,,,,
2021-22,4,Kreisliga A,MD3,2021-10-03,BV Teutonia Lanstrop,Home,86,86,15,0,15,Virginia,Glänzer,Carolin,Kaul,Kaul,Jung,,Pre-assist was shot rebounded from Jung,glanzer,kaul,kaul,jung,,,,
2021-22,5,Kreisliga A,MD4,2021-10-10,SpVg Berghofen III,Away,49,49,1,0,1,Kimberly,Becker,,,,,,No Assists (Becker intercpeted a clearance),becker,,,,,,,
2021-22,5,Kreisliga A,MD4,2021-10-10,SpVg Berghofen III,Away,52,52,2,0,2,Hannah,Goosmann,Ann-Katrin,Lau,Lau,Becker,,,goosmann,lau,lau,becker,,,,
2021-22,5,Kreisliga A,MD4,2021-10-10,SpVg Berghofen III,Away,55,55,3,0,3,Ann-Katrin,Lau,,,Fälker,,,No official assist (Fälker cross touched defender); No Second Assist (Fälker won ball),lau,,falker,,,,,
2021-22,5,Kreisliga A,MD4,2021-10-10,SpVg Berghofen III,Away,65,65,4,0,4,Ann-Katrin,Lau,Luisa,Bergmann,Bergmann,Fälker,,,lau,bergmann,bergmann,falker,,,,
2021-22,6,Kreisliga A,MD5,2021-10-17,TuRa Asseln,Home,17,17,1,0,1,Ana,Zabell,Luisa,Bergmann,Bergmann,,,No Second Assist (Bergmann free kick),zabell,bergmann,bergmann,,,,,
2021-22,6,Kreisliga A,MD5,2021-10-17,TuRa Asseln,Home,23,23,2,0,2,Virginia,Glänzer,Ana,Zabell,Zabell,Bergmann,,,glanzer,zabell,zabell,bergmann,,,,
2021-22,6,Kreisliga A,MD5,2021-10-17,TuRa Asseln,Home,25,25,3,0,3,Luisa,Bergmann,Annika,Herbig,Herbig,Lau,,,bergmann,herbig,herbig,lau,,,,
2021-22,6,Kreisliga A,MD5,2021-10-17,TuRa Asseln,Home,32,32,4,0,4,Luisa,Bergmann,,,,,Penalty,No Assists (Penalty),bergmann,,,,,,,
2021-22,6,Kreisliga A,MD5,2021-10-17,TuRa Asseln,Home,39,39,5,0,5,Annika,Herbig,Virginia,Glänzer,Glänzer,Kaul,,,herbig,glanzer,glanzer,kaul,,,,
2021-22,6,Kreisliga A,MD5,2021-10-17,TuRa Asseln,Home,48,48,6,0,6,Annika,Herbig,Virginia,Glänzer,Glänzer,Zabell,,,herbig,glanzer,glanzer,zabell,,,,
2021-22,6,Kreisliga A,MD5,2021-10-17,TuRa Asseln,Home,51,51,7,0,7,Virginia,Glänzer,,,Lau,Herbig,,No Official Assist (Lau shot hit crossbar and fell to Glänzer),glanzer,,lau,herbig,,,,
2021-22,6,Kreisliga A,MD5,2021-10-17,TuRa Asseln,Home,55,55,8,0,8,Ann-Katrin,Lau,Kimberly,Becker,Becker,Bergmann,,,lau,becker,becker,bergmann,,,,
2021-22,6,Kreisliga A,MD5,2021-10-17,TuRa Asseln,Home,63,63,9,0,9,Hannah,Goosmann,Virginia,Glänzer,Glänzer,Zabell,,,goosmann,glanzer,glanzer,zabell,,,,
2021-22,6,Kreisliga A,MD5,2021-10-17,TuRa Asseln,Home,74,74,10,0,10,Annika,Billig,Ann-Katrin,Lau,Lau,Gerres,,,billig,lau,lau,gerres,,,,
2021-22,7,Kreisliga A,MD6,2021-10-24,SF Ay Yildiz Derne,Away,38,38,1,0,1,Ana,Zabell,Luisa,Bergmann,Bergmann,,,No Official Assist (Corner struck defender); No Second Assist (Bergmann Corner),zabell,bergmann,bergmann,,,,,
2021-22,7,Kreisliga A,MD6,2021-10-24,SF Ay Yildiz Derne,Away,45+1,45.1,2,0,2,Ann-Katrin,Lau,Vanessa,Heim,Heim,Bergmann,,,lau,heim,heim,bergmann,,,,
2021-22,7,Kreisliga A,MD6,2021-10-24,SF Ay Yildiz Derne,Away,53,53,3,0,3,Vanessa,Heim,Lea,Rogge-Herper,Rogge-Herper,Zabell,,,heim,rogge-herper,rogge-herper,zabell,,,,
2021-22,7,Kreisliga A,MD6,2021-10-24,SF Ay Yildiz Derne,Away,62,62,4,0,4,Vanessa,Heim,Ann-Katrin,Lau,Lau,Rogge-Herper,,,heim,lau,lau,rogge-herper,,,,
2021-22,7,Kreisliga A,MD6,2021-10-24,SF Ay Yildiz Derne,Away,63,63,5,0,5,Lisa,Klemann,Vanessa,Heim,Heim,Schneider,,No Official Assist (Cleared by defender to Klemann),klemann,heim,heim,schneider,,,,
2021-22,7,Kreisliga A,MD6,2021-10-24,SF Ay Yildiz Derne,Away,74,74,6,0,6,Annika,Billig,Hanna,Schneider,Schneider,Zabell,,,billig,schneider,schneider,zabell,,,,
2021-22,8,Kreisliga A,MD7,2021-10-31,Lüner SV,Home,17,17,1,0,1,Carolin,Kaul,,,Bergmann,Herbig,,No Official Assist (Kaul first touch hits defender),kaul,,bergmann,herbig,,,,
2021-22,8,Kreisliga A,MD7,2021-10-31,Lüner SV,Home,25,25,2,0,2,,,,,,,,Own Goal,,,,,hohl,,jung,becker
2021-22,8,Kreisliga A,MD7,2021-10-31,Lüner SV,Home,25,25,3,0,3,Hannah,Goosmann,Laura,Höhl,Höhl,Goosmann,,,goosmann,hohl,hohl,goosmann,,,,
2021-22,8,Kreisliga A,MD7,2021-10-31,Lüner SV,Home,30,30,4,0,4,Annika,Herbig,Laura,Höhl,Höhl,Gerres,,,herbig,hohl,hohl,gerres,,,,
2021-22,8,Kreisliga A,MD7,2021-10-31,Lüner SV,Home,33,33,5,0,5,Carolin,Kaul,Hannah,Goosmann,Goosmann,Fälker,,Combination (Fälker-Kaul-Goosmann-Kaul),kaul,goosmann,goosmann,falker,,,,
2021-22,8,Kreisliga A,MD7,2021-10-31,Lüner SV,Home,37,37,6,0,6,Carolin,Kaul,Hannah,Goosmann,Goosmann,Becker,,,kaul,goosmann,goosmann,becker,,,,
2021-22,8,Kreisliga A,MD7,2021-10-31,Lüner SV,Home,40,40,7,0,7,Annika,Herbig,,,Goosmann,Jung,,No Official Assist (Herbig shot initially saved and Goosmann cross initially hits defender); Jung pass also hit defender on the way to Goosmann,herbig,,goosmann,jung,,,,
2021-22,8,Kreisliga A,MD7,2021-10-31,Lüner SV,Home,42,42,8,0,8,Laura,Höhl,Annika,Fälker,Fälker,Herbig,,,hohl,falker,falker,herbig,,,,
2021-22,8,Kreisliga A,MD7,2021-10-31,Lüner SV,Home,51,51,9,0,9,Annika,Herbig,,,Goosmann,Höhl,,No Official Assist (Clearance from Goosmann loose touch goes to Herbig),herbig,,goosmann,hohl,,,,
2021-22,8,Kreisliga A,MD7,2021-10-31,Lüner SV,Home,64,64,10,0,10,Ann-Katrin,Lau,,,Goosmann,Kaul,,No Official Assist (Goosman shot saved and falls to Lau),lau,,goosmann,kaul,,,,
2021-22,8,Kreisliga A,MD7,2021-10-31,Lüner SV,Home,70,70,11,0,11,Hannah,Goosmann,Annika,Fälker,Fälker,Glänzer,,,goosmann,falker,falker,glanzer,,,,
2021-22,8,Kreisliga A,MD7,2021-10-31,Lüner SV,Home,84,84,12,0,12,Ann-Katrin,Lau,Virginia,Glänzer,Glänzer,,,No Second Assist (Glänzer corner),lau,glanzer,glanzer,,,,,
2021-22,9,Kreispokal,R2,2021-11-02,SF Ay Yildiz Derne,Home,9,9,1,0,1,Vanessa,Heim,Lisa,Klemann,Klemann,,,NOTE: Missing Second Assist Data,heim,klemann,klemann,,,,,
