season,match,comp,round,date,opponent,venue,min,min_alt,gf,ga,gd,scorer_first,scorer_last,assist_first,assist_last,assist_1st,assist_2nd,note,expanded_note,id_scorer,id_assist_official,id_assist_1st,id_assist_2nd,og_scorer,og_assist_official,og_assist_1st,og_assist_2nd
2021-22,9,Kreispokal,R2,2021-11-02,SF Ay Yildiz Derne,Home,11,11,2,0,2,Vanessa,Heim,,,,,Penalty,No Assists (Penalty),heim,,,,,,,
2021-22,9,Kreispokal,R2,2021-11-02,SF Ay Yildiz Derne,Home,16,16,3,0,3,Ana,Zabell,Luisa,Bergmann,Bergmann,Glänzer,,,zabell,bergmann,bergmann,glanzer,,,,
2021-22,9,Kreispokal,R2,2021-11-02,SF Ay Yildiz Derne,Home,19,19,4,0,4,Ana,Zabell,Virginia,Glänzer,Glänzer,,,No Second Assist (Glänzer corner),zabell,glanzer,glanzer,,,,,
2021-22,9,Kreispokal,R2,2021-11-02,SF Ay Yildiz Derne,Home,22,22,5,0,5,Ann-Katrin,Lau,Hanna,Schneider,Schneider,,,NOTE: Missing Second Assist Data,lau,schneider,schneider,,,,,
2021-22,10,Kreisliga A,MD8,2021-11-07,BV Viktoria Kirchderne,Away,50,50,1,0,1,Vanessa,Heim,,,,,Direct free kick,No Assists (Direct Free Kick),heim,,,,,,,
2021-22,10,Kreisliga A,MD8,2021-11-07,BV Viktoria Kirchderne,Away,71,71,2,0,2,Ann-Katrin,Lau,Vanessa,Heim,Heim,Zabell,Short-handed,Short-handed,lau,heim,heim,zabell,,,,
2021-22,10,Kreisliga A,MD8,2021-11-07,BV Viktoria Kirchderne,Away,81,81,3,0,3,Ana,Zabell,Lisa,Klemann,Klemann,Heim,Short-handed,Short-handed,zabell,klemann,klemann,heim,,,,
2021-22,11,Kreispokal,QF,2021-11-22,SV Eintracht Dorstfeld,Home,7,7,1,0,1,Vanessa,Heim,Ana,Zabell,Zabell,,,No Second Assist (Zabell won ball),heim,zabell,zabell,,,,,
2021-22,11,Kreispokal,QF,2021-11-22,SV Eintracht Dorstfeld,Home,73,73,2,0,2,Ana,Zabell,Annika,Billig,Billig,Jung,,Combination (Jung-Zabell-Billig-Zabell),zabell,billig,billig,jung,,,,
2021-22,11,Kreispokal,QF,2021-11-22,SV Eintracht Dorstfeld,Home,89,89,3,0,3,Carolin,Kaul,Vanessa,Heim,Heim,Billig,,,kaul,heim,heim,billig,,,,
2021-22,12,Kreisliga A,MD9,2021-11-28,SV Körne 83,Away,10,10,1,0,1,Carolin,Kaul,Laura,Höhl,Höhl,Jung,,,kaul,hohl,hohl,jung,,,,
2021-22,12,Kreisliga A,MD9,2021-11-28,SV Körne 83,Away,22,22,2,0,2,Laura,Höhl,Vanessa,Heim,Heim,,,No Second Assist (Heim won the ball),hohl,heim,heim,,,,,
2021-22,12,Kreisliga A,MD9,2021-11-28,SV Körne 83,Away,42,42,3,0,3,Carolin,Kaul,Vanessa,Heim,Heim,,,No Second Assist (Heim won the ball),kaul,heim,heim,,,,,
2021-22,12,Kreisliga A,MD9,2021-11-28,SV Körne 83,Away,68,68,4,0,4,Vanessa,Heim,Ana,Zabell,Zabell,Billig,Short-handed,Short-handed,heim,zabell,zabell,billig,,,,
2021-22,12,Kreisliga A,MD9,2021-11-28,SV Körne 83,Away,72,72,5,0,5,Vanessa,Heim,Luisa,Bergmann,Bergmann,,Short-handed,No Second Assist (Corner); Short-handed,heim,bergmann,bergmann,,,,,
2021-22,13,Kreisliga A,MD10,2022-03-05,BV Brambauer 13/​45 e.V.,Away,21,21,1,0,1,Vanessa,Heim,Ann-Katrin,Lau,Lau,Kaul,,,heim,lau,lau,kaul,,,,
2021-22,13,Kreisliga A,MD10,2022-03-05,BV Brambauer 13/​45 e.V.,Away,68,68,2,0,2,,,,,,,,Own Goal,,,,,bergmann,,glanzer,
2021-22,13,Kreisliga A,MD10,2022-03-05,BV Brambauer 13/​45 e.V.,Away,78,78,3,0,3,Ana,Zabell,Virginia,Glänzer,Glänzer,Pörteners,,,zabell,glanzer,glanzer,porteners,,,,
2021-22,13,Kreisliga A,MD10,2022-03-05,BV Brambauer 13/​45 e.V.,Away,81,81,4,0,4,Vanessa,Heim,Laura,Höhl,Höhl,Becker,,,heim,hohl,hohl,becker,,,,
2021-22,13,Kreisliga A,MD10,2022-03-05,BV Brambauer 13/​45 e.V.,Away,88,88,5,0,5,Laura,Höhl,,,,,,No Assists (Höhl won the ball),hohl,,,,,,,
2021-22,13,Kreisliga A,MD10,2022-03-05,BV Brambauer 13/​45 e.V.,Away,90,90,6,0,6,Marina,Jung,,,,,Penalty,No Assists (Penalty),jung,,,,,,,
2021-22,14,Kreisliga A,MD12,2022-03-27,BV Teutonia Lanstrop,Away,4,4,1,0,1,Lisa,Klemann,Vanessa,Heim,Heim,,,NOTE: Missing Second Assist Data,klemann,heim,heim,,,,,
2021-22,14,Kreisliga A,MD12,2022-03-27,BV Teutonia Lanstrop,Away,21,21,2,0,2,Ann-Katrin,Lau,Vanessa,Heim,Heim,,,NOTE: Missing Second Assist Data,lau,heim,heim,,,,,
2021-22,14,Kreisliga A,MD12,2022-03-27,BV Teutonia Lanstrop,Away,22,22,3,0,3,Ana,Zabell,Vanessa,Heim,Heim,,,NOTE: Missing Second Assist Data,zabell,heim,heim,,,,,
2021-22,14,Kreisliga A,MD12,2022-03-27,BV Teutonia Lanstrop,Away,33,33,4,0,4,Carolin,Kaul,Ann-Katrin,Lau,Lau,,,NOTE: Missing Second Assist Data,kaul,lau,lau,,,,,
2021-22,14,Kreisliga A,MD12,2022-03-27,BV Teutonia Lanstrop,Away,39,39,5,0,5,Ann-Katrin,Lau,Ana,Zabell,Zabell,,,NOTE: Missing Second Assist Data,lau,zabell,zabell,,,,,
2021-22,14,Kreisliga A,MD12,2022-03-27,BV Teutonia Lanstrop,Away,42,42,6,0,6,Hanna,Schneider,Vanessa,Heim,Heim,,,NOTE: Missing Second Assist Data,schneider,heim,heim,,,,,
2021-22,14,Kreisliga A,MD12,2022-03-27,BV Teutonia Lanstrop,Away,46,46,7,0,7,Carolin,Kaul,Vanessa,Heim,Heim,,,NOTE: Missing Second Assist Data,kaul,heim,heim,,,,,
2021-22,14,Kreisliga A,MD12,2022-03-27,BV Teutonia Lanstrop,Away,51,51,8,0,8,Ana,Zabell,Vanessa,Heim,Heim,,,NOTE: Missing Second Assist Data,zabell,heim,heim,,,,,
2021-22,14,Kreisliga A,MD12,2022-03-27,BV Teutonia Lanstrop,Away,55,55,9,0,9,Ann-Katrin,Lau,Denise,Pörteners,Pörteners,,,NOTE: Missing Second Assist Data,lau,porteners,porteners,,,,,
2021-22,14,Kreisliga A,MD12,2022-03-27,BV Teutonia Lanstrop,Away,56,56,10,0,10,Carolin,Kaul,Kimberly,Becker,Becker,,,NOTE: Missing Second Assist Data,kaul,becker,becker,,,,,
2021-22,14,Kreisliga A,MD12,2022-03-27,BV Teutonia Lanstrop,Away,61,61,11,0,11,Annika,Fälker,Carolin,Kaul,Kaul,,,NOTE: Missing Second Assist Data,falker,kaul,kaul,,,,,
2021-22,14,Kreisliga A,MD12,2022-03-27,BV Teutonia Lanstrop,Away,64,64,12,0,12,Denise,Pörteners,Ana,Zabell,Zabell,,,NOTE: Missing Second Assist Data,porteners,zabell,zabell,,,,,
2021-22,14,Kreisliga A,MD12,2022-03-27,BV Teutonia Lanstrop,Away,65,65,13,0,13,Ann-Katrin,Lau,Vanessa,Heim,Heim,,,NOTE: Missing Second Assist Data,lau,heim,heim,,,,,
2021-22,14,Kreisliga A,MD12,2022-03-27,BV Teutonia Lanstrop,Away,88,88,14,0,14,Hannah,Goosmann,Annika,Herbig,Herbig,,,NOTE: Missing Second Assist Data,goosmann,herbig,herbig,,,,,
2021-22,15,Kreisliga A,MD13,2022-04-03,SpVg Berghofen III,Home,3,3,1,0,1,,,,,,,,Own Goal,,,,,lau,,gerres,
2021-22,15,Kreisliga A,MD13,2022-04-03,SpVg Berghofen III,Home,9,9,2,0,2,Carolin,Kaul,Annika,Fälker,Fälker,Billig,,,kaul,falker,falker,billig,,,,
2021-22,15,Kreisliga A,MD13,2022-04-03,SpVg Berghofen III,Home,10,10,3,0,3,Ann-Katrin,Lau,Lisa,Klemann,Klemann,Kaul,,,lau,klemann,klemann,kaul,,,,
2021-22,15,Kreisliga A,MD13,2022-04-03,SpVg Berghofen III,Home,16,16,4,0,4,Ana,Zabell,Ann-Katrin,Lau,Lau,Bergmann,,,zabell,lau,lau,bergmann,,,,
2021-22,15,Kreisliga A,MD13,2022-04-03,SpVg Berghofen III,Home,32,32,5,0,5,Ana,Zabell,Marina,Jung,Jung,Klemann,,,zabell,jung,jung,klemann,,,,
2021-22,15,Kreisliga A,MD13,2022-04-03,SpVg Berghofen III,Home,38,38,6,0,6,Annika,Fälker,Ann-Katrin,Lau,Lau,Zabell,,,falker,lau,lau,zabell,,,,
2021-22,15,Kreisliga A,MD13,2022-04-03,SpVg Berghofen III,Home,43,43,7,0,7,Annika,Billig,Ann-Katrin,Lau,Lau,Jung,,,billig,lau,lau,jung,,,,
2021-22,15,Kreisliga A,MD13,2022-04-03,SpVg Berghofen III,Home,47,47,8,0,8,Annika,Fälker,,,Billig,Kaul,,Billig shot saved and Fälker scored rebound,falker,,billig,kaul,,,,
2021-22,15,Kreisliga A,MD13,2022-04-03,SpVg Berghofen III,Home,60,60,9,0,9,Annika,Billig,Lisa,Klemann,Klemann,Kaul,,,billig,klemann,klemann,kaul,,,,
2021-22,15,Kreisliga A,MD13,2022-04-03,SpVg Berghofen III,Home,62,62,10,0,10,Carolin,Kaul,Ann-Katrin,Lau,Lau,Gerres,,,kaul,lau,lau,gerres,,,,
2021-22,15,Kreisliga A,MD13,2022-04-03,SpVg Berghofen III,Home,68,68,11,0,11,Ana,Zabell,Lilli,Prinzen,Prinzen,Becker,,,zabell,prinzen,prinzen,becker,,,,
2021-22,15,Kreisliga A,MD13,2022-04-03,SpVg Berghofen III,Home,85,85,12,1,11,,,,,,,,Own Goal,,,,,lau,,,
2021-22,15,Kreisliga A,MD13,2022-04-03,SpVg Berghofen III,Home,86,86,13,1,12,Hannah,Goosmann,,,Zabell,Jung,,,goosmann,,zabell,jung,,,,
2021-22,16,Kreisliga A,MD11,2022-04-06,SF Sölderholz,Home,27,27,1,1,0,Vanessa,Heim,,,Glänzer,,,No Official Assist (deflection from defender); Pre-assist was off camera,heim,,glanzer,,,,,
2021-22,16,Kreisliga A,MD11,2022-04-06,SF Sölderholz,Home,78,78,2,1,1,Ana,Zabell,Annika,Fälker,Fälker,,,No Second Assist (Fälker corner),zabell,falker,falker,,,,,
2021-22,16,Kreisliga A,MD11,2022-04-06,SF Sölderholz,Home,85,85,3,1,2,Annika,Billig,Vanessa,Heim,Heim,,,No Second Assist (Heim free kick),billig,heim,heim,,,,,
2021-22,17,Kreisliga A,MD14,2022-04-10,TuRa Asseln,Away,17,17,1,0,1,Ana,Zabell,Vanessa,Heim,Heim,,,NOTE: Missing Second Assist Data,zabell,heim,heim,,,,,
2021-22,17,Kreisliga A,MD14,2022-04-10,TuRa Asseln,Away,22,22,2,0,2,Annika,Herbig,Ana,Zabell,Zabell,,,NOTE: Missing Second Assist Data,herbig,zabell,zabell,,,,,
2021-22,17,Kreisliga A,MD14,2022-04-10,TuRa Asseln,Away,38,38,3,0,3,Ana,Zabell,Allegra,Gerres,Gerres,,,NOTE: Missing Second Assist Data,zabell,gerres,gerres,,,,,
2021-22,17,Kreisliga A,MD14,2022-04-10,TuRa Asseln,Away,56,56,4,0,4,Vanessa,Heim,,,,,,NOTE: Missing Second Assist Data,heim,,,,,,,
2021-22,17,Kreisliga A,MD14,2022-04-10,TuRa Asseln,Away,82,82,5,0,5,Hannah,Goosmann,,,,,,NOTE: Missing Second Assist Data,goosmann,,,,,,,
2021-22,17,Kreisliga A,MD14,2022-04-10,TuRa Asseln,Away,84,84,6,0,6,Ann-Katrin,Lau,Kimberly,Becker,Becker,,,NOTE: Missing Second Assist Data,lau,becker,becker,,,,,
2021-22,17,Kreisliga A,MD14,2022-04-10,TuRa Asseln,Away,87,87,7,0,7,Vanessa,Heim,,,,,,NOTE: Missing Second Assist Data,heim,,,,,,,
2021-22,17,Kreisliga A,MD14,2022-04-10,TuRa Asseln,Away,90+1,90.1,8,0,8,Hannah,Goosmann,Vanessa,Heim,Heim,,,NOTE: Missing Second Assist Data,goosmann,heim,heim,,,,,
2021-22,18,Kreisliga A,MD15,2022-04-24,SF Ay Yildiz Derne,Home,8,8,1,0,1,Vanessa,Heim,,,,,Penalty,No Assists (Penalty),heim,,,,,,,
2021-22,18,Kreisliga A,MD15,2022-04-24,SF Ay Yildiz Derne,Home,11,11,2,0,2,Vanessa,Heim,,,,,,No Assists (Hit shin of Marina Jung after a corner),heim,,,,,,,
2021-22,18,Kreisliga A,MD15,2022-04-24,SF Ay Yildiz Derne,Home,47,47,3,0,3,Lisa,Klemann,Vanessa,Heim,Heim,,,,klemann,heim,heim,bergmann,,,,
2021-22,18,Kreisliga A,MD15,2022-04-24,SF Ay Yildiz Derne,Home,48,48,4,0,4,Vanessa,Heim,,,Kaul,,,"No Official Assist (Lau cross stopped by keeper, Kaul shot off post)",heim,,kaul,lau,,,,
2021-22,18,Kreisliga A,MD15,2022-04-24,SF Ay Yildiz Derne,Home,55,55,5,0,5,Carolin,Kaul,Lisa,Klemann,Klemann,,,,kaul,klemann,klemann,heim,,,,
2021-22,18,Kreisliga A,MD15,2022-04-24,SF Ay Yildiz Derne,Home,68,68,6,0,6,Hannah,Goosmann,Lea,Rogge-Herper,Rogge-Herper,,,,goosmann,rogge-herper,rogge-herper,heim,,,,
2021-22,19,Kreispokal,SF,2022-04-28,Wambeler SV,Home,3,3,1,0,1,Ana,Zabell,,,,,,,zabell,,,,,,,
2021-22,19,Kreispokal,SF,2022-04-28,Wambeler SV,Home,17,17,2,0,2,Virginia,Glänzer,,,,,Direct corner kick,No Assists (Directly from Corner),glanzer,,,,,,,
2021-22,19,Kreispokal,SF,2022-04-28,Wambeler SV,Home,67,67,3,0,3,Lea,Rogge-Herper,Hannah,Goosmann,Goosmann,,,No Second Assist (headed by defender),rogge-herper,goosmann,goosmann,,,,,
2021-22,19,Kreispokal,SF,2022-04-28,Wambeler SV,Home,77,77,4,0,4,Annika,Fälker,Marina,Jung,Jung,,,,falker,jung,jung,rogge-herper,,,,
2021-22,20,Kreisliga A,MD16,2022-05-01,Lüner SV,Away,2,2,1,0,1,Allegra,Gerres,Annika,Billig,,,,,gerres,billig,,,,,,
2021-22,20,Kreisliga A,MD16,2022-05-01,Lüner SV,Away,6,6,2,0,2,Lea,Rogge-Herper,,,,,,,rogge-herper,,,,,,,
2021-22,20,Kreisliga A,MD16,2022-05-01,Lüner SV,Away,24,24,3,0,3,Lea,Rogge-Herper,Marina,Jung,,,,,rogge-herper,jung,,,,,,
2021-22,20,Kreisliga A,MD16,2022-05-01,Lüner SV,Away,26,26,4,0,4,Annika,Billig,,,,,,,billig,,,,,,,
2021-22,20,Kreisliga A,MD16,2022-05-01,Lüner SV,Away,30,30,5,0,5,Lea,Rogge-Herper,,,,,,,rogge-herper,,,,,,,
2021-22,20,Kreisliga A,MD16,2022-05-01,Lüner SV,Away,31,31,6,0,6,Hannah,Goosmann,,,,,,,goosmann,,,,,,,
2021-22,20,Kreisliga A,MD16,2022-05-01,Lüner SV,Away,39,39,7,0,7,Annika,Billig,,,,,,,billig,,,,,,,
2021-22,20,Kreisliga A,MD16,2022-05-01,Lüner SV,Away,42,42,8,0,8,Hannah,Goosmann,Annika,Fälker,,,,,goosmann,falker,,,,,,
2021-22,20,Kreisliga A,MD16,2022-05-01,Lüner SV,Away,56,56,9,0,9,Hannah,Goosmann,,,,,,,goosmann,,,,,,,
2021-22,20,Kreisliga A,MD16,2022-05-01,Lüner SV,Away,59,59,10,0,10,Hannah,Goosmann,,,,,,,goosmann,,,,,,,
2021-22,20,Kreisliga A,MD16,2022-05-01,Lüner SV,Away,68,68,11,0,11,Lea,Rogge-Herper,,,,,,,rogge-herper,,,,,,,
2021-22,20,Kreisliga A,MD16,2022-05-01,Lüner SV,Away,75,75,12,0,12,Lilli,Prinzen,,,,,Direct free kick,,prinzen,,,,,,,
2021-22,20,Kreisliga A,MD16,2022-05-01,Lüner SV,Away,77,77,13,0,13,Vanessa,Heim,,,,,,,heim,,,,,,,
2021-22,20,Kreisliga A,MD16,2022-05-01,Lüner SV,Away,81,81,14,0,14,Laura,Höhl,,,,,,,hohl,,,,,,,
2021-22,20,Kreisliga A,MD16,2022-05-01,Lüner SV,Away,87,87,15,0,15,Marina,Jung,,,,,,,jung,,,,,,,
2021-22,20,Kreisliga A,MD16,2022-05-01,Lüner SV,Away,89,89,16,0,16,Ana,Zabell,,,,,,,zabell,,,,,,,
2021-22,20,Kreisliga A,MD16,2022-05-01,Lüner SV,Away,90,90,17,0,17,Ana,Zabell,,,,,,,zabell,,,,,,,