id,season,first,last,g_lg,1a_lg,2a_lg,pts_lg,g_ucl,1a_ucl,2a_ucl,pts_ucl,g_uel,1a_uel,2a_uel,pts_uel,g_cup,1a_cup,2a_cup,pts_cup,g_scup,1a_scup,2a_scup,pts_scup,g_uelq,1a_uelq,2a_uelq,pts_uelq,g_all,1a_all,2a_all,pts_all
akanji,2021-22,Manuel,Akanji,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4
bellingham,2021-22,Jude,Bellingham,3,9,8,20,1,3,0,4,2,2,0,4,0,0,0,0,0,1,0,1,0,0,0,0,6,15,8,29
brandt,2021-22,Julian,Brandt,10,8,9,27,0,0,1,1,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,10,10,11,31
burki,2021-22,Roman,Bürki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bynoe-gittens,2021-22,Jamie,Bynoe-Gittens,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
can,2021-22,Emre,Can,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,6
dahoud,2021-22,Mahmoud,Dahoud,2,4,4,10,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,14
delaney,2021-22,Thomas,Delaney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guerreiro,2021-22,Raphaël,Guerreiro,4,4,6,14,0,0,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,17
haaland,2021-22,Erling,Haaland,22,10,4,36,3,0,0,3,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,29,10,4,43
hazard,2021-22,Thorgan,Hazard,4,2,3,9,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,6,2,3,11
hitz,2021-22,Marwin,Hitz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hummels,2021-22,Mats,Hummels,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3
knauff,2021-22,Ansgar,Knauff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kobel,2021-22,Gregor,Kobel,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
malen,2021-22,Donyell,Malen,6,5,2,13,3,0,0,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,6,2,18
maloney,2021-22,Lennard,Maloney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meunier,2021-22,Thomas,Meunier,2,5,4,11,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,6,5,13
moukoko,2021-22,Youssoufa,Moukoko,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4
papadopoulos,2021-22,Antonios,Papadopoulos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasalic,2021-22,Marco,Pašalić,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
passlack,2021-22,Felix,Passlack,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,3
pherai,2021-22,Immanuel,Pherai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pongracic,2021-22,Marin,Pongračić,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reinier,2021-22,,Reinier,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2
reus,2021-22,Marco,Reus,10,13,7,30,3,1,0,4,0,0,0,0,0,1,1,2,1,0,0,1,0,0,0,0,14,15,8,37
reyna,2021-22,Gio,Reyna,2,2,0,4,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,2,3,1,6
rothe,2021-22,Tom,Rothe,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
schulz,2021-22,Nico,Schulz,0,2,1,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
semic,2021-22,Lion,Semić,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tigges,2021-22,Steffen,Tigges,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4
witsel,2021-22,Axel,Witsel,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3
wolf,2021-22,Marius,Wolf,3,1,3,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,4,8
zagadou,2021-22,Dan-Axel,Zagadou,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
akanji,2020-21,Manuel,Akanji,2,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,3,5
bellingham,2020-21,Jude,Bellingham,1,3,4,8,1,1,1,3,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,4,4,5,13
brandt,2020-21,Julian,Brandt,3,2,6,11,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,4,2,7,13
burki,2020-21,Roman,Bürki,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
can,2020-21,Emre,Can,1,4,5,10,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,2,5,5,12
dahoud,2020-21,Mahmoud,Dahoud,1,1,2,4,1,1,2,4,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,2,3,5,10
delaney,2020-21,Thomas,Delaney,1,1,1,3,0,1,1,2,0,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,1,5,2,8
guerreiro,2020-21,Raphaël,Guerreiro,5,11,5,21,1,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6,12,6,24
haaland,2020-21,Erling,Haaland,28,8,5,41,10,2,1,13,0,0,0,0,3,1,2,6,1,1,0,2,0,0,0,0,42,12,8,62
hazard,2020-21,Thorgan,Hazard,1,3,0,4,1,2,1,4,0,0,0,0,2,1,1,4,0,0,0,0,0,0,0,0,4,6,2,12
hitz,2020-21,Marwin,Hitz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hummels,2020-21,Mats,Hummels,5,0,3,8,0,1,1,2,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,6,1,5,12
knauff,2020-21,Ansgar,Knauff,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
meunier,2020-21,Thomas,Meunier,1,2,1,4,0,1,1,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,3,4,8
morey,2020-21,Mateu,Morey,0,3,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
moukoko,2020-21,Youssoufa,Moukoko,3,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,5
passlack,2020-21,Felix,Passlack,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
piszczek,2020-21,Łukasz,Piszczek,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,3
reinier,2020-21,,Reinier,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
reus,2020-21,Marco,Reus,8,6,6,20,1,2,1,4,0,0,0,0,2,4,2,8,0,0,1,1,0,0,0,0,11,12,10,33
reyna,2020-21,Gio,Reyna,4,6,5,15,0,1,1,2,0,0,0,0,3,0,1,4,0,0,0,0,0,0,0,0,7,7,7,21
sancho,2020-21,Jadon,Sancho,8,13,4,25,2,3,0,5,0,0,0,0,6,5,1,12,0,0,0,0,0,0,0,0,16,21,5,42
schulz,2020-21,Nico,Schulz,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
tigges,2020-21,Steffen,Tigges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
witsel,2020-21,Axel,Witsel,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3
zagadou,2020-21,Dan-Axel,Zagadou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akanji,2019-20,Manuel,Akanji,0,1,4,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,4,6
alcacer,2019-20,Paco,Alcácer,5,1,1,7,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,7,2,1,10
balerdi,2019-20,Leonardo,Balerdi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brandt,2019-20,Julian,Brandt,3,8,14,25,2,3,2,7,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,7,13,16,36
bruun-larsen,2019-20,Jacob,Bruun Larsen,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
burki,2019-20,Roman,Bürki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
can,2019-20,Emre,Can,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3
dahoud,2019-20,Mahmoud,Dahoud,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
delaney,2019-20,Thomas,Delaney,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
gotze,2019-20,Mario,Götze,3,0,0,3,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,5
guerreiro,2019-20,Raphaël,Guerreiro,8,4,6,18,0,1,2,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,6,8,22
haaland,2019-20,Erling,Haaland,13,2,2,17,2,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,16,2,2,20
hakimi,2019-20,Achraf,Hakimi,5,10,5,20,4,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,6,25
hazard,2019-20,Thorgan,Hazard,7,14,2,23,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7,15,3,25
hitz,2019-20,Marwin,Hitz,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
hummels,2019-20,Mats,Hummels,1,3,2,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,7
morey,2019-20,Mateu,Morey,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
piszczek,2019-20,Łukasz,Piszczek,1,3,1,5,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,4,2,7
raschl,2019-20,Tobias,Raschl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reus,2019-20,Marco,Reus,11,6,3,20,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,12,7,3,22
reyna,2019-20,Gio,Reyna,0,1,3,4,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,3,6
sancho,2019-20,Jadon,Sancho,17,17,15,49,2,2,0,4,0,0,0,0,0,0,1,1,1,1,0,2,0,0,0,0,20,20,16,56
schmelzer,2019-20,Marcel,Schmelzer,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
schulz,2019-20,Nico,Schulz,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,3
toprak,2019-20,Ömer,Toprak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
weigl,2019-20,Julian,Weigl,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3
witsel,2019-20,Axel,Witsel,4,5,5,14,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,4,5,7,16
wolf,2019-20,Marius,Wolf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zagadou,2019-20,Dan-Axel,Zagadou,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3
akanji,2018-19,Manuel,Akanji,1,0,2,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,3,4
alcacer,2018-19,Paco,Alcácer,18,1,3,22,1,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,19,3,3,25
bruun-larsen,2018-19,Jacob,Bruun Larsen,2,3,2,7,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,9
burki,2018-19,Roman,Bürki,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2
dahoud,2018-19,Mahmoud,Dahoud,1,0,4,5,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,7,8
delaney,2018-19,Thomas,Delaney,3,6,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,13
diallo,2018-19,Abdou,Diallo,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4
gomez,2018-19,Sergio,Gómez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gotze,2018-19,Mario,Götze,7,8,1,16,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,2,17
guerreiro,2018-19,Raphaël,Guerreiro,2,6,5,13,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,17
hakimi,2018-19,Achraf,Hakimi,2,5,3,10,0,3,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,8,3,14
hitz,2018-19,Marwin,Hitz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
