id,first,last,position,number,season,lg_m,lg_s,lg_min,lg_g,lg_a,lg_ga90,lg_y,lg_r,cup_m,cup_s,cup_min,cup_g,cup_a,cup_ga90,cup_y,cup_r,pp_m,pp_s,pp_min,pp_g,pp_a,pp_ga90,pp_y,pp_r,all_m,all_s,all_min,all_g,all_a,all_ga90,all_y,all_r,all_inv
becker,Kimberly,Becker,Midfield,5,2021-2022,17,11,1061,2,4,0.51,0,0,4,4,328,0,1,0.27,0,0,1,0,31,0,0,0.00,0,0,22,15,1420,2,5,0.44,0,0,7
bergmann,Luisa,Bergmann,Midfield,8,2021-2022,16,14,1086,2,7,0.75,0,0,4,3,262,0,1,0.34,1,0,1,1,59,0,0,0.00,0,0,21,18,1407,2,8,0.64,1,0,10
billig,Annika,Billig,Midfield,17,2021-2022,14,8,737,10,5,1.83,2,0,4,0,105,1,1,1.71,0,0,1,1,79,1,0,1.14,0,0,19,9,921,12,6,1.76,2,0,18
droter,Neele,Dröter,Midfield,7,2021-2022,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0
falker,Annika,Fälker,Midfield,22,2021-2022,10,9,729,3,8,1.36,0,0,1,0,20,1,0,4.50,0,0,1,0,63,0,0,0.00,0,0,12,9,812,4,8,1.33,0,0,12
gerres,Allegra,Gerres,Midfield,14,2021-2022,15,13,1048,1,2,0.26,0,0,1,1,64,0,0,0.00,0,0,0,0,0,0,0,,0,0,16,14,1112,1,2,0.24,0,0,3
glanzer,Virginia,Glänzer,Defense,25,2021-2022,13,11,1011,4,7,0.98,0,0,5,5,450,2,1,0.60,0,0,1,1,90,0,1,1.00,0,0,19,17,1551,6,9,0.87,0,0,15
goosmann,Hannah,Goosmann,Attack,6,2021-2022,15,9,878,23,4,2.77,0,0,5,3,229,1,1,0.79,0,0,0,0,0,0,0,,0,0,20,12,1107,24,5,2.36,0,0,29
hentrich,Hanna,Hentrich,Defense,4,2021-2022,8,6,625,1,1,0.29,0,0,4,3,296,0,1,0.30,0,0,1,1,27,0,0,0.00,0,0,13,10,948,1,2,0.28,0,0,3
herbig,Annika,Herbig,Attack,18,2021-2022,13,8,569,7,3,1.58,0,0,3,0,69,1,0,1.30,0,0,0,0,0,0,0,,0,0,16,8,638,8,3,1.55,0,0,11
hohl,Laura,Höhl,Midfield,16,2021-2022,9,5,448,5,4,1.81,0,0,3,2,186,1,2,1.45,1,0,0,0,0,0,0,,0,0,12,7,634,6,6,1.70,1,0,12
jung,Marina,Jung,Defense,15,2021-2022,14,13,1208,3,3,0.45,0,0,5,5,450,1,3,0.80,0,0,1,1,19,0,1,4.74,0,1,20,19,1677,4,7,0.59,0,1,11
kaul,Carolin,Kaul,Midfield,10,2021-2022,15,11,792,13,3,1.82,0,0,5,2,204,2,1,1.32,0,0,1,1,22,0,0,0.00,0,0,21,14,1018,15,4,1.68,0,0,19
klemann,Lisa,Klemann,Defense,21,2021-2022,8,7,661,4,4,1.09,0,0,4,4,349,0,1,0.26,0,0,1,1,90,0,0,0.00,0,0,13,12,1100,4,5,0.74,0,0,9
kolmel,Lena,Kölmel,Goalkeeper,20,2021-2022,8,7,666,0,0,0.00,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,8,7,666,0,0,0.00,0,0,0
kuhl,Vanessa,Kuhl,Attack,11,2021-2022,12,10,874,18,18,3.71,0,0,5,5,381,6,6,2.83,1,0,1,1,90,2,0,2.00,0,0,18,16,1345,26,24,3.35,1,0,50
lau,Ann-Katrin,Lau,Attack,13,2021-2022,16,10,962,16,10,2.43,0,0,4,4,277,3,0,0.97,0,0,1,1,90,1,0,1.00,0,0,21,15,1329,20,10,2.03,0,0,30
porteners,Denise,Pörteners,Defense,3,2021-2022,6,5,464,1,1,0.39,0,0,1,1,90,0,1,1.00,0,0,0,0,0,0,0,,0,0,7,6,554,1,2,0.49,0,0,3
prinzen,Lilli,Prinzen,Defense,2,2021-2022,12,11,1005,2,2,0.36,1,1,2,1,101,1,0,0.89,0,0,1,0,68,0,0,0.00,0,0,15,12,1174,3,2,0.38,1,1,5
rogge-herper,Lea,Rogge-Herper,Midfield,19,2021-2022,17,8,824,5,8,1.42,1,0,4,2,203,1,0,0.44,0,0,1,0,11,0,0,0.00,0,0,22,10,1038,6,8,1.21,1,0,14
scheibe,Stefanie,Scheibe,Goalkeeper,23,2021-2022,1,0,23,0,0,0.00,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,1,0,23,0,0,0.00,0,0,0
schlenker,Svenja,Schlenker,Midfield,,2021-2022,1,0,29,0,0,0.00,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,1,0,29,0,0,0.00,0,0,0
schroer,Sandra,Schröer,Goalkeeper,1,2021-2022,10,10,862,0,0,0.00,0,1,5,5,450,0,0,0.00,0,0,1,1,90,0,0,0.00,0,0,16,16,1402,0,0,0.00,0,1,0
west,Anna Lena,West,Midfield,9,2021-2022,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0
zabell,Ana,Zabell,Defense,26,2021-2022,17,12,1190,19,8,2.04,0,0,5,5,436,6,1,1.44,0,0,1,1,90,0,0,0.00,1,0,23,18,1716,25,9,1.78,1,0,34
auffenberg,Lea,Auffenberg,Defense,2,2022-2023,,,,,,,,,1,0,31,0,0,0.00,0,0,,,,,,,,,1,0,31,0,0,0.00,0,0,0
becker,Kimberly,Becker,Midfield,5,2022-2023,,,,,,,,,1,0,70,0,0,0.00,0,0,,,,,,,,,1,0,70,0,0,0.00,0,0,0
bergmann,Luisa,Bergmann,Midfield,8,2022-2023,,,,,,,,,1,1,20,0,0,0.00,0,0,,,,,,,,,1,1,20,0,0,0.00,0,0,0
billig,Annika,Billig,Midfield,17,2022-2023,,,,,,,,,1,0,18,0,0,0.00,0,0,,,,,,,,,1,0,18,0,0,0.00,0,0,0
glanzer,Virginia,Glänzer,Defense,25,2022-2023,,,,,,,,,1,1,90,0,0,0.00,0,0,,,,,,,,,1,1,90,0,0,0.00,0,0,0
grothe,Marie,Grothe,Midfield,24,2022-2023,,,,,,,,,1,1,90,0,1,1.00,0,0,,,,,,,,,1,1,90,0,1,1.00,0,0,1
hentrich,Hanna,Hentrich,Defense,4,2022-2023,,,,,,,,,1,1,90,0,0,0.00,0,0,,,,,,,,,1,1,90,0,0,0.00,0,0,0
jung,Marina,Jung,Defense,15,2022-2023,,,,,,,,,1,1,90,0,0,0.00,0,0,,,,,,,,,1,1,90,0,0,0.00,0,0,0
kaul,Carolin,Kaul,Midfield,10,2022-2023,,,,,,,,,1,1,59,1,0,1.53,0,0,,,,,,,,,1,1,59,1,0,1.53,0,0,1
kuhl,Vanessa,Kuhl,Attack,11,2022-2023,,,,,,,,,1,1,72,2,0,2.50,0,0,,,,,,,,,1,1,72,2,0,2.50,0,0,2
lau,Ann-Katrin,Lau,Attack,13,2022-2023,,,,,,,,,1,1,59,0,1,1.53,0,0,,,,,,,,,1,1,59,0,1,1.53,0,0,1
rechenbach,Nora,Rechenbach,Defense,7,2022-2023,,,,,,,,,1,1,90,0,0,0.00,0,0,,,,,,,,,1,1,90,0,0,0.00,0,0,0
reinhardt,Mandy,Reinhardt,Attack,9,2022-2023,,,,,,,,,1,0,31,0,0,0.00,0,0,,,,,,,,,1,0,31,0,0,0.00,0,0,0
rogge-herper,Lea,Rogge-Herper,Midfield,19,2022-2023,,,,,,,,,1,0,45,0,0,0.00,0,0,,,,,,,,,1,0,45,0,0,0.00,0,0,0
schroer,Sandra,Schröer,Goalkeeper,1,2022-2023,,,,,,,,,1,1,90,0,0,0.00,0,0,,,,,,,,,1,1,90,0,0,0.00,0,0,0
zabell,Ana,Zabell,Defense,26,2022-2023,,,,,,,,,1,1,45,0,0,0.00,0,0,,,,,,,,,1,1,45,0,0,0.00,0,0,0